NOME_PROVINCIA,NOME_COMUNE,DECESSI_HIGH,DECESSI_LOW,AVG
Bergamo,Adrara San Martino,20,20,20
Bergamo,Adrara San Rocco,1,0,1
Bergamo,Albano Sant'Alessandro,88,88,88
Bergamo,Albino,302,302,302
Bergamo,Algua,1,0,1
Bergamo,Almè,68,68,68
Bergamo,Almenno San Bartolomeo,38,38,38
Bergamo,Almenno San Salvatore,70,70,70
Bergamo,Alzano Lombardo,218,218,218
Bergamo,Ambivere,3,0,3
Bergamo,Antegnate,22,22,22
Bergamo,Arcene,36,36,36
Bergamo,Ardesio,40,40,40
Bergamo,Arzago d'Adda,18,18,18
Bergamo,Averara,1,0,1
Bergamo,Aviatico,1,0,1
Bergamo,Azzano San Paolo,16,4,16
Bergamo,Azzone,2,0,2
Bergamo,Bagnatica,44,44,44
Bergamo,Barbata,2,0,2
Bergamo,Bariano,26,26,26
Bergamo,Barzana,3,0,3
Bergamo,Bedulita,3,0,3
Bergamo,Berbenno,4,0,4
Bergamo,Bergamo,1380,1380,1380
Bergamo,Berzo San Fermo,20,20,20
Bergamo,Bianzano,2,0,2
Bergamo,Bolgare,50,50,50
Bergamo,Boltiere,12,0,12
Bergamo,Bonate Sopra,42,42,42
Bergamo,Bonate Sotto,13,3,13
Bergamo,Borgo di Terzo,2,0,2
Bergamo,Bossico,14,14,14
Bergamo,Bottanuco,52,52,52
Bergamo,Bracca,2,0,2
Bergamo,Branzi,2,0,2
Bergamo,Brembate,74,74,74
Bergamo,Brembate di Sopra,176,176,176
Bergamo,Brignano Gera d'Adda,9,4,9
Bergamo,Brumano,0,0,0
Bergamo,Brusaporto,40,40,40
Bergamo,Calcinate,42,42,42
Bergamo,Calcio,50,50,50
Bergamo,Calusco d'Adda,68,68,68
Bergamo,Calvenzano,62,62,62
Bergamo,Camerata Cornello,1,0,1
Bergamo,Canonica d'Adda,22,22,22
Bergamo,Capizzone,4,0,4
Bergamo,Capriate San Gervasio,15,5,15
Bergamo,Caprino Bergamasco,4,1,4
Bergamo,Caravaggio,122,122,122
Bergamo,Carobbio degli Angeli,22,22,22
Bergamo,Carona,1,0,1
Bergamo,Carvico,42,42,42
Bergamo,Casazza,40,40,40
Bergamo,Casirate d'Adda,42,42,42
Bergamo,Casnigo,72,72,72
Bergamo,Cassiglio,0,0,0
Bergamo,Castel Rozzone,14,14,14
Bergamo,Castelli Calepio,130,130,130
Bergamo,Castione della Presolana,9,3,9
Bergamo,Castro,18,18,18
Bergamo,Cavernago,3,0,3
Bergamo,Cazzano Sant'Andrea,0,0,0
Bergamo,Cenate Sopra,20,20,20
Bergamo,Cenate Sotto,4,0,4
Bergamo,Cene,72,72,72
Bergamo,Cerete,3,0,3
Bergamo,Chignolo d'Isola,28,28,28
Bergamo,Chiuduno,46,46,46
Bergamo,Cisano Bergamasco,38,38,38
Bergamo,Ciserano,40,40,40
Bergamo,Cividate al Piano,76,76,76
Bergamo,Clusone,184,184,184
Bergamo,Colere,3,0,3
Bergamo,Cologno al Serio,16,4,16
Bergamo,Colzate,16,16,16
Bergamo,Comun Nuovo,32,32,32
Bergamo,Corna Imagna,1,0,1
Bergamo,Cornalba,2,0,2
Bergamo,Cortenuova,20,20,20
Bergamo,Costa di Mezzate,3,0,3
Bergamo,Costa Serina,3,0,3
Bergamo,Costa Valle Imagna,2,0,2
