"","DATA","SESSO","DECESSI","POPOLAZIONE","DECESSI_P10k"
"1",2015-01-01,"FEMMINE",166,5121000,0,324155438390939
"2",2015-01-02,"FEMMINE",184,5120965,0,359307278999173
"3",2015-01-03,"FEMMINE",185,5120935,0,361262152321793
"4",2015-01-04,"FEMMINE",192,5120904,0,374933800750805
"5",2015-01-05,"FEMMINE",183,5120877,0,357360663027056
"6",2015-01-06,"FEMMINE",187,5120849,0,365173821762758
"7",2015-01-07,"FEMMINE",177,5120817,0,345647969845437
"8",2015-01-08,"FEMMINE",172,5120788,0,335885805075313
"9",2015-01-09,"FEMMINE",172,5120759,0,33588770727152
"10",2015-01-10,"FEMMINE",212,5120730,0,414003472161196
"11",2015-01-11,"FEMMINE",179,5120702,0,349561446848498
"12",2015-01-12,"FEMMINE",179,5120669,0,349563699586909
"13",2015-01-13,"FEMMINE",160,5120642,0,312460820342449
"14",2015-01-14,"FEMMINE",182,5120611,0,355426334865117
"15",2015-01-15,"FEMMINE",189,5120582,0,36909866886225
"16",2015-01-16,"FEMMINE",210,5120553,0,410111954704892
"17",2015-01-17,"FEMMINE",202,5120523,0,394490953365506
"18",2015-01-18,"FEMMINE",162,5120494,0,316375724685938
"19",2015-01-19,"FEMMINE",152,5120465,0,296848040168227
"20",2015-01-20,"FEMMINE",203,5120434,0,396450769602733
"21",2015-01-21,"FEMMINE",204,5120407,0,398405829849073
"22",2015-01-22,"FEMMINE",172,5120374,0,33591296260781
"23",2015-01-23,"FEMMINE",173,5120346,0,337867792528083
"24",2015-01-24,"FEMMINE",170,5120317,0,332010693869149
"25",2015-01-25,"FEMMINE",171,5120288,0,333965589435594
"26",2015-01-26,"FEMMINE",179,5120259,0,34959169057659
"27",2015-01-27,"FEMMINE",177,5120227,0,345687798607366
"28",2015-01-28,"FEMMINE",184,5120199,0,359361032647364
"29",2015-01-29,"FEMMINE",158,5120172,0,30858338352696
"30",2015-01-30,"FEMMINE",180,5120141,0,351552818564958
"31",2015-01-31,"FEMMINE",162,5120111,0,316399390560087
"32",2015-02-01,"FEMMINE",173,5120087,0,337884883596704
"33",2015-02-02,"FEMMINE",184,5120064,0,359370507868652
"34",2015-02-03,"FEMMINE",154,5120045,0,300778606438029
"35",2015-02-04,"FEMMINE",176,5120025,0,343748321541399
"36",2015-02-05,"FEMMINE",182,5120006,0,355468333435547
"37",2015-02-06,"FEMMINE",197,5119986,0,384766677096383
"38",2015-02-07,"FEMMINE",164,5119968,0,320314501965637
"39",2015-02-08,"FEMMINE",180,5119949,0,351566001926972
"40",2015-02-09,"FEMMINE",188,5119929,0,367192591928521
"41",2015-02-10,"FEMMINE",187,5119909,0,365240866585715
"42",2015-02-11,"FEMMINE",173,5119891,0,337897818527777
"43",2015-02-12,"FEMMINE",193,5119871,0,376962622691079
"44",2015-02-13,"FEMMINE",178,5119853,0,347666231823453
"45",2015-02-14,"FEMMINE",199,5119833,0,388684552796937
"46",2015-02-15,"FEMMINE",166,5119815,0,324230465358612
"47",2015-02-16,"FEMMINE",186,5119795,0,363295796023083
"48",2015-02-17,"FEMMINE",166,5119775,0,324232998520443
"49",2015-02-18,"FEMMINE",171,5119757,0,334000226963897
"50",2015-02-19,"FEMMINE",169,5119737,0,330095081055921
