"","DATA","SESSO","DECESSI","POPOLAZIONE","DECESSI_P10k"
"1",2015-01-01,"MASCHI",140,4881615,0,286790334756018
"2",2015-01-02,"MASCHI",159,4881595,0,32571321463579
"3",2015-01-03,"MASCHI",152,4881582,0,311374468358823
"4",2015-01-04,"MASCHI",154,4881567,0,315472470212946
"5",2015-01-05,"MASCHI",123,4881554,0,251968942676861
"6",2015-01-06,"MASCHI",193,4881541,0,395366954820209
"7",2015-01-07,"MASCHI",167,4881526,0,342106136482731
"8",2015-01-08,"MASCHI",149,4881512,0,305233296568768
"9",2015-01-09,"MASCHI",183,4881497,0,374884999417187
"10",2015-01-10,"MASCHI",165,4881484,0,338011965213857
"11",2015-01-11,"MASCHI",151,4881470,0,309333049265897
"12",2015-01-12,"MASCHI",132,4881457,0,270411067843064
"13",2015-01-13,"MASCHI",135,4881441,0,276557680406257
"14",2015-01-14,"MASCHI",154,4881426,0,315481582635894
"15",2015-01-15,"MASCHI",160,4881415,0,327773811487038
"16",2015-01-16,"MASCHI",142,4881400,0,290900151595854
"17",2015-01-17,"MASCHI",136,4881386,0,27860939495463
"18",2015-01-18,"MASCHI",141,4881371,0,288853275032773
"19",2015-01-19,"MASCHI",141,4881360,0,288853925955062
"20",2015-01-20,"MASCHI",142,4881345,0,29090342928025
"21",2015-01-21,"MASCHI",158,4881329,0,323682341427919
"22",2015-01-22,"MASCHI",147,4881316,0,301148296893707
"23",2015-01-23,"MASCHI",145,4881302,0,297051893121958
"24",2015-01-24,"MASCHI",142,4881289,0,290906766634797
"25",2015-01-25,"MASCHI",157,4881274,0,321637343037904
"26",2015-01-26,"MASCHI",140,4881260,0,28681119219218
"27",2015-01-27,"MASCHI",147,4881245,0,301152677237057
"28",2015-01-28,"MASCHI",149,4881232,0,305250805534341
"29",2015-01-29,"MASCHI",174,4881219,0,356468333012717
"30",2015-01-30,"MASCHI",156,4881204,0,319593280674194
"31",2015-01-31,"MASCHI",163,4881191,0,333934894168247
"32",2015-02-01,"MASCHI",151,4881182,0,309351300566133
"33",2015-02-02,"MASCHI",169,4881157,0,346229387827517
"34",2015-02-03,"MASCHI",182,4881139,0,372863792651674
"35",2015-02-04,"MASCHI",145,4881117,0,297063151733507
"36",2015-02-05,"MASCHI",178,4881100,0,364671897727971
"37",2015-02-06,"MASCHI",185,4881078,0,379014635701376
"38",2015-02-07,"MASCHI",154,4881060,0,315505238616202
"39",2015-02-08,"MASCHI",162,4881041,0,331896413080734
"40",2015-02-09,"MASCHI",149,4881019,0,305264126199878
"41",2015-02-10,"MASCHI",165,4881000,0,338045482483098
"42",2015-02-11,"MASCHI",164,4880980,0,335998098742466
"43",2015-02-12,"MASCHI",168,4880961,0,344194514154077
"44",2015-02-13,"MASCHI",167,4880941,0,342147139250403
"45",2015-02-14,"MASCHI",154,4880922,0,315514159005204
"46",2015-02-15,"MASCHI",151,4880905,0,309368856800122
"47",2015-02-16,"MASCHI",174,4880881,0,356493018371069
"48",2015-02-17,"MASCHI",156,4880864,0,319615543477548
"49",2015-02-18,"MASCHI",144,4880842,0,295031062263437
"50",2015-02-19,"MASCHI",154,4880824,0,315520494080508
"51",2015-02-20,"MASCHI",138,4880803,0,282740360551327
"52",2015-02-21,"MASCHI",145,4880786,0,29708329764919
"53",2015-02-22,"MASCHI",148,4880767,0,303231029057523
"54",2015-02-23,"MASCHI",145,4880744,0,29708585412388
"55",2015-02-24,"MASCHI",147,4880725,0,301184762509668
"56",2015-02-25,"MASCHI",131,4880705,0,268403847394997
"57",2015-02-26,"MASCHI",140,4880686,0,286844923029263
"58",2015-02-27,"MASCHI",124,4880665,0,254063739265039
"59",2015-02-28,"MASCHI",141,4880646,0,288896183005282
"60",2015-03-01,"MASCHI",162,4880632,0,33192422620677
"61",2015-03-02,"MASCHI",128,4880639,0,262260740857908
"62",2015-03-03,"MASCHI",145,4880653,0,297091393303314
"63",2015-03-04,"MASCHI",158,4880665,0,323726377450614
"64",2015-03-05,"MASCHI",127,4880678,0,260209749547092
"65",2015-03-06,"MASCHI",147,4880689,0,301186984050817
"66",2015-03-07,"MASCHI",140,4880703,0,286843923918337
"67",2015-03-08,"MASCHI",127,4880714,0,260207830247788
"68",2015-03-09,"MASCHI",158,4880730,0,323722066166332
"69",2015-03-10,"MASCHI",139,4880741,0,284792821417895
"70",2015-03-11,"MASCHI",120,4880754,0,245863651394846
"71",2015-03-12,"MASCHI",132,4880768,0,270449240775222
"72",2015-03-13,"MASCHI",117,4880780,0,239715783133024
"73",2015-03-14,"MASCHI",148,4880793,0,303229413744857
"74",2015-03-15,"MASCHI",129,4880804,0,264300717668646
"75",2015-03-16,"MASCHI",141,4880818,0,288886002305351
"76",2015-03-17,"MASCHI",148,4880831,0,303227052934224
