DATA,SESSO,DECESSI,POPOLAZIONE,DECESSI_P10k
2015-01-01,TOTALE,306,10002615,0.30592000191949803
2015-01-02,TOTALE,343,10002565,0.34291204306095485
2015-01-03,TOTALE,337,10002522,0.3369150300294266
2015-01-04,TOTALE,346,10002478,0.3459142824408112
2015-01-05,TOTALE,306,10002436,0.30592547655391145
2015-01-06,TOTALE,380,10002391,0.3799091637189548
2015-01-07,TOTALE,344,10002349,0.3439192133767778
2015-01-08,TOTALE,321,10002304,0.32092605863609025
2015-01-09,TOTALE,355,10002262,0.3549197171599784
2015-01-10,TOTALE,377,10002218,0.37691639994249276
2015-01-11,TOTALE,330,10002176,0.32992820762202146
2015-01-12,TOTALE,311,10002131,0.31093374002000174
2015-01-13,TOTALE,295,10002088,0.2949384168585599
2015-01-14,TOTALE,336,10002044,0.3359313356349962
2015-01-15,TOTALE,349,10002000,0.3489302139572086
2015-01-16,TOTALE,352,10001957,0.35193112707843077
2015-01-17,TOTALE,338,10001915,0.3379352853928473
2015-01-18,TOTALE,303,10001872,0.30294328901629614
2015-01-19,TOTALE,293,10001828,0.2929464493890517
2015-01-20,TOTALE,345,10001784,0.3449384629782047
2015-01-21,TOTALE,362,10001741,0.36193698677060326
2015-01-22,TOTALE,319,10001696,0.3189459067742111
2015-01-23,TOTALE,318,10001654,0.3179474114981382
2015-01-24,TOTALE,312,10001610,0.3119497760860501
2015-01-25,TOTALE,328,10001568,0.32794857766302243
2015-01-26,TOTALE,319,10001523,0.31895142369817076
2015-01-27,TOTALE,324,10001481,0.3239520227054373
2015-01-28,TOTALE,333,10001436,0.33295218806579374
2015-01-29,TOTALE,332,10001394,0.3319537256506443
2015-01-30,TOTALE,336,10001350,0.3359546461227734
2015-01-31,TOTALE,325,10001307,0.32495752805108374
2015-02-01,TOTALE,324,10001269,0.3239588896169076
2015-02-02,TOTALE,353,10001225,0.3529567627965574
2015-02-03,TOTALE,336,10001185,0.33596018871763694
2015-02-04,TOTALE,321,10001147,0.32096318552262054
2015-02-05,TOTALE,360,10001108,0.35996011641910075
2015-02-06,TOTALE,382,10001069,0.38195916856488044
2015-02-07,TOTALE,318,10001030,0.31796724937331455
2015-02-08,TOTALE,342,10000992,0.34196607696516507
2015-02-09,TOTALE,337,10000953,0.33696788696037266
2015-02-10,TOTALE,352,10000912,0.3519679005274719
2015-02-11,TOTALE,337,10000876,0.3369704813858306
2015-02-12,TOTALE,361,10000837,0.3609697868288424
2015-02-13,TOTALE,345,10000798,0.34497247119679847
2015-02-14,TOTALE,353,10000759,0.3529732093334116
2015-02-15,TOTALE,317,10000721,0.31697714594777715
2015-02-16,TOTALE,360,10000681,0.3599754856694259
2015-02-17,TOTALE,322,10000643,0.32197929673122017
2015-02-18,TOTALE,315,10000603,0.31498100664529927
2015-02-19,TOTALE,323,10000564,0.3229817838273921
2015-02-20,TOTALE,325,10000528,0.32498284090600016
2015-02-21,TOTALE,322,10000488,0.3219842871667863
2015-02-22,TOTALE,293,10000449,0.2929868448906644
2015-02-23,TOTALE,310,10000410,0.30998729052108864
2015-02-24,TOTALE,325,10000371,0.32498794294731664
2015-02-25,TOTALE,295,10000333,0.29499017682711165
2015-02-26,TOTALE,294,10000293,0.29399138605238867
2015-02-27,TOTALE,286,10000255,0.28599270718596675
2015-02-28,TOTALE,278,10000215,0.27799402312850274
2015-03-01,TOTALE,321,10000183,0.3209941258074977
2015-03-02,TOTALE,286,10000200,0.2859942801143977
2015-03-03,TOTALE,328,10000220,0.3279927841587485
2015-03-04,TOTALE,312,10000243,0.3119924185842284
2015-03-05,TOTALE,302,10000265,0.30199199721207387
2015-03-06,TOTALE,276,10000288,0.27599205142891886
2015-03-07,TOTALE,313,10000308,0.31299035989691515
2015-03-08,TOTALE,268,10000331,0.26799112949361376
2015-03-09,TOTALE,314,10000351,0.3139889789868376
2015-03-10,TOTALE,290,10000374,0.2899891544056252
2015-03-11,TOTALE,247,10000397,0.24699019448927878
2015-03-12,TOTALE,312,10000417,0.3119869901425111
2015-03-13,TOTALE,287,10000440,0.2869873725556076
2015-03-14,TOTALE,286,10000461,0.28598681600778203
2015-03-15,TOTALE,272,10000482,0.2719868902318908
2015-03-16,TOTALE,292,10000505,0.2919852547446354
2015-03-17,TOTALE,297,10000527,0.2969843489248117
2015-03-18,TOTALE,261,10000550,0.2609856457894816
2015-03-19,TOTALE,264,10000571,0.2639849264606991
2015-03-20,TOTALE,281,10000592,0.28098336578474553
2015-03-21,TOTALE,301,10000615,0.3009814896383872
2015-03-22,TOTALE,275,10000635,0.27498253860879834
2015-03-23,TOTALE,277,10000658,0.27698177459923135
2015-03-24,TOTALE,303,10000681,0.30297936710510015
2015-03-25,TOTALE,271,10000701,0.2709810042316034
2015-03-26,TOTALE,261,10000724,0.2609811049680003
2015-03-27,TOTALE,270,10000744,0.269979913494436
2015-03-28,TOTALE,301,10000767,0.3009769150706141
2015-03-29,TOTALE,228,10000789,0.2279820122192359
2015-03-30,TOTALE,293,10000812,0.29297621033172105
2015-03-31,TOTALE,284,10000832,0.2839763731657526
2015-04-01,TOTALE,283,10000861,0.2829756357977578
2015-04-02,TOTALE,275,10000833,0.2749770944080358
2015-04-03,TOTALE,265,10000807,0.2649786162256706
2015-04-04,TOTALE,290,10000783,0.2899772947778189
2015-04-05,TOTALE,276,10000757,0.27597910838149553
2015-04-06,TOTALE,264,10000732,0.26398067661447183
2015-04-07,TOTALE,270,10000707,0.2699809123494969
2015-04-08,TOTALE,276,10000683,0.2759811504874217
2015-04-09,TOTALE,278,10000659,0.27798168100722165
2015-04-10,TOTALE,270,10000633,0.2699829100817918
2015-04-11,TOTALE,247,10000609,0.2469849586160203
2015-04-12,TOTALE,289,10000583,0.28898315228222193
2015-04-13,TOTALE,278,10000560,0.27798443287175917
2015-04-14,TOTALE,270,10000534,0.2699855827698801
2015-04-15,TOTALE,271,10000508,0.2709862338993179
2015-04-16,TOTALE,251,10000488,0.25098775179771227
2015-04-17,TOTALE,273,10000462,0.2729873879826752
2015-04-18,TOTALE,263,10000436,0.2629885336999307
2015-04-19,TOTALE,267,10000412,0.2669890000531978
2015-04-20,TOTALE,264,10000387,0.26398978359537484
2015-04-21,TOTALE,251,10000362,0.25099091412890856
2015-04-22,TOTALE,263,10000338,0.2629911109004516
2015-04-23,TOTALE,255,10000311,0.25499206974663086
2015-04-24,TOTALE,240,10000287,0.23999311219767994
2015-04-25,TOTALE,233,10000265,0.23299382566361992
2015-04-26,TOTALE,220,10000238,0.21999476412461383
2015-04-27,TOTALE,249,10000213,0.2489946964129664
2015-04-28,TOTALE,229,10000188,0.22899569488093624
2015-04-29,TOTALE,257,10000163,0.2569958109682812
2015-04-30,TOTALE,248,10000137,0.24799660244654648
2016-01-01,TOTALE,265,10008349,0.2647789360662783
2016-01-02,TOTALE,276,10008284,0.2757715508472781
2016-01-03,TOTALE,288,10008229,0.2877631996629973
2016-01-04,TOTALE,285,10008170,0.2847673450790704
2016-01-05,TOTALE,268,10008114,0.2677827211000994
2016-01-06,TOTALE,302,10008058,0.301756844334835
2016-01-07,TOTALE,275,10008000,0.2747801758593125
2016-01-08,TOTALE,300,10007944,0.29976186917113046
2016-01-09,TOTALE,272,10007888,0.2717856155064885
2016-01-10,TOTALE,278,10007829,0.27778252406191195
2016-01-11,TOTALE,307,10007774,0.30676152359155995
2016-01-12,TOTALE,290,10007716,0.28977640852318354
2016-01-13,TOTALE,283,10007657,0.28278347269495746
2016-01-14,TOTALE,271,10007601,0.2707941693518756
2016-01-15,TOTALE,275,10007546,0.2747926414727447
2016-01-16,TOTALE,301,10007487,0.300774809899828
2016-01-17,TOTALE,263,10007430,0.26280473608109173
2016-01-18,TOTALE,318,10007371,0.31776577484736
2016-01-19,TOTALE,325,10007316,0.32476240382536137
2016-01-20,TOTALE,319,10007260,0.3187685740152649
2016-01-21,TOTALE,279,10007201,0.27879923666967416
2016-01-22,TOTALE,287,10007143,0.28679514222990515
2016-01-23,TOTALE,290,10007088,0.28979459359206194
2016-01-24,TOTALE,275,10007029,0.27480683827337765
2016-01-25,TOTALE,292,10006973,0.29179653027943614
2016-01-26,TOTALE,288,10006917,0.2878009280980346
2016-01-27,TOTALE,290,10006859,0.2898012253395396
2016-01-28,TOTALE,266,10006803,0.2658191632232592
2016-01-29,TOTALE,272,10006747,0.2718166053363795
2016-01-30,TOTALE,277,10006688,0.27681486621747375
2016-01-31,TOTALE,274,10006633,0.27381837627101946
2016-02-01,TOTALE,290,10006580,0.2898093054769961
2016-02-02,TOTALE,254,10006638,0.25383150664588844
2016-02-03,TOTALE,272,10006703,0.2718178005283059
2016-02-04,TOTALE,287,10006770,0.2868058324514304
2016-02-05,TOTALE,263,10006835,0.26282036228238
2016-02-06,TOTALE,303,10006899,0.3027911044170627
2016-02-07,TOTALE,262,10006965,0.26181764401094637
2016-02-08,TOTALE,246,10007031,0.24582715892456014
2016-02-09,TOTALE,286,10007095,0.2857972268675375
2016-02-10,TOTALE,313,10007161,0.31277602109129654
2016-02-11,TOTALE,266,10007225,0.26580795375341315
2016-02-12,TOTALE,316,10007291,0.31576977225904596
2016-02-13,TOTALE,263,10007357,0.262806653145281
2016-02-14,TOTALE,286,10007420,0.2857879453445543
2016-02-15,TOTALE,275,10007487,0.2747942615363877
2016-02-16,TOTALE,272,10007550,0.271794794929828
2016-02-17,TOTALE,260,10007617,0.25980210873377746
2016-02-18,TOTALE,274,10007680,0.27378972948775343
2016-02-19,TOTALE,295,10007746,0.29477166986452297
2016-02-20,TOTALE,271,10007812,0.270788460055005
2016-02-21,TOTALE,286,10007876,0.2857749236701174
2016-02-22,TOTALE,270,10007942,0.2697857361683351
2016-02-23,TOTALE,294,10008006,0.2937648118915996
2016-02-24,TOTALE,282,10008072,0.28177255319506095
