"","NOME_PROVINCIA","DATA","SESSO","DECESSI","POPOLAZIONE","DECESSI_P10k"
"1","Bergamo",2015-01-01,"FEMMINE",20,559861,0,357231527111194
"2","Bergamo",2015-01-01,"MASCHI",14,548992,0,255012823501982
"3","Bergamo",2015-01-01,"TOTALE",34,1108853,0,306623150228209
"4","Bergamo",2015-01-02,"FEMMINE",13,559859,0,232201322118605
"5","Bergamo",2015-01-02,"MASCHI",20,548990,0,364305360753383
"6","Bergamo",2015-01-02,"TOTALE",33,1108850,0,297605627451865
"7","Bergamo",2015-01-03,"FEMMINE",19,559857,0,339372375445873
"8","Bergamo",2015-01-03,"MASCHI",22,548989,0,400736626781229
"9","Bergamo",2015-01-03,"TOTALE",41,1108847,0,369753446598133
"10","Bergamo",2015-01-04,"FEMMINE",16,559855,0,285788284466514
"11","Bergamo",2015-01-04,"MASCHI",17,548988,0,309660684750851
"12","Bergamo",2015-01-04,"TOTALE",33,1108844,0,297607237808024
"13","Bergamo",2015-01-05,"FEMMINE",16,559854,0,285788794935823
"14","Bergamo",2015-01-05,"MASCHI",14,548987,0,25501514607814
"15","Bergamo",2015-01-05,"TOTALE",30,1108841,0,270552766356944
"16","Bergamo",2015-01-06,"FEMMINE",22,559852,0,392960996834878
"17","Bergamo",2015-01-06,"MASCHI",16,548986,0,291446412112513
"18","Bergamo",2015-01-06,"TOTALE",38,1108838,0,342701097906096
"19","Bergamo",2015-01-07,"FEMMINE",20,559850,0,357238546039118
"20","Bergamo",2015-01-07,"MASCHI",9,548985,0,163938905434575
"21","Bergamo",2015-01-07,"TOTALE",29,1108835,0,261535755996158
"22","Bergamo",2015-01-08,"FEMMINE",12,559849,0,214343510482291
"23","Bergamo",2015-01-08,"MASCHI",15,548983,0,273232504467351
"24","Bergamo",2015-01-08,"TOTALE",27,1108832,0,243499466104874
"25","Bergamo",2015-01-09,"FEMMINE",21,559847,0,37510248335706
"26","Bergamo",2015-01-09,"MASCHI",22,548982,0,400741736523238
"27","Bergamo",2015-01-09,"TOTALE",43,1108830,0,387796145486684
"28","Bergamo",2015-01-10,"FEMMINE",17,559845,0,303655476069269
"29","Bergamo",2015-01-10,"MASCHI",21,548981,0,382526899838064
"30","Bergamo",2015-01-10,"TOTALE",38,1108827,0,34270449763579
"31","Bergamo",2015-01-11,"FEMMINE",14,559843,0,250070108941257
"32","Bergamo",2015-01-11,"MASCHI",13,548980,0,236802797916135
"33","Bergamo",2015-01-11,"TOTALE",27,1108824,0,243501222917253
"34","Bergamo",2015-01-12,"FEMMINE",17,559842,0,303657103254132
"35","Bergamo",2015-01-12,"MASCHI",7,548979,0,127509431143996
"36","Bergamo",2015-01-12,"TOTALE",24,1108821,0,216446117091938
"37","Bergamo",2015-01-13,"FEMMINE",22,559840,0,392969419834238
"38","Bergamo",2015-01-13,"MASCHI",11,548978,0,20037232821716
"39","Bergamo",2015-01-13,"TOTALE",33,1108818,0,297614216219434
"40","Bergamo",2015-01-14,"FEMMINE",19,559838,0,339383893197675
"41","Bergamo",2015-01-14,"MASCHI",18,548976,0,327883186150214
"42","Bergamo",2015-01-14,"TOTALE",37,1108815,0,333689569495362
"43","Bergamo",2015-01-15,"FEMMINE",22,559837,0,392971525640499
"44","Bergamo",2015-01-15,"MASCHI",24,548975,0,43717837788606
"45","Bergamo",2015-01-15,"TOTALE",46,1108812,0,41485842505312
"46","Bergamo",2015-01-16,"FEMMINE",29,559835,0,51800977073602
"47","Bergamo",2015-01-16,"MASCHI",18,548974,0,327884380681052
"48","Bergamo",2015-01-16,"TOTALE",47,1108809,0,423878233311598
"49","Bergamo",2015-01-17,"FEMMINE",21,559833,0,375111863716501
"50","Bergamo",2015-01-17,"MASCHI",14,548973,0,255021649516461
"51","Bergamo",2015-01-17,"TOTALE",35,1108807,0,315654572887797
