Territorio,Sesso_c,DATE,Value
Lombardia,TOTALE,2015-01-01,10002615
Lombardia,TOTALE,2015-01-02,10002571
Lombardia,TOTALE,2015-01-03,10002528
Lombardia,TOTALE,2015-01-04,10002484
Lombardia,TOTALE,2015-01-05,10002441
Lombardia,TOTALE,2015-01-06,10002397
Lombardia,TOTALE,2015-01-07,10002354
Lombardia,TOTALE,2015-01-08,10002311
Lombardia,TOTALE,2015-01-09,10002267
Lombardia,TOTALE,2015-01-10,10002224
Lombardia,TOTALE,2015-01-11,10002180
Lombardia,TOTALE,2015-01-12,10002137
Lombardia,TOTALE,2015-01-13,10002093
Lombardia,TOTALE,2015-01-14,10002050
Lombardia,TOTALE,2015-01-15,10002007
Lombardia,TOTALE,2015-01-16,10001963
Lombardia,TOTALE,2015-01-17,10001920
Lombardia,TOTALE,2015-01-18,10001876
Lombardia,TOTALE,2015-01-19,10001833
Lombardia,TOTALE,2015-01-20,10001790
Lombardia,TOTALE,2015-01-21,10001746
Lombardia,TOTALE,2015-01-22,10001703
Lombardia,TOTALE,2015-01-23,10001659
Lombardia,TOTALE,2015-01-24,10001616
Lombardia,TOTALE,2015-01-25,10001572
Lombardia,TOTALE,2015-01-26,10001529
Lombardia,TOTALE,2015-01-27,10001486
Lombardia,TOTALE,2015-01-28,10001442
Lombardia,TOTALE,2015-01-29,10001399
Lombardia,TOTALE,2015-01-30,10001355
Lombardia,TOTALE,2015-01-31,10001312
Lombardia,TOTALE,2015-02-01,10001269
Lombardia,TOTALE,2015-02-02,10001230
Lombardia,TOTALE,2015-02-03,10001191
Lombardia,TOTALE,2015-02-04,10001152
Lombardia,TOTALE,2015-02-05,10001113
Lombardia,TOTALE,2015-02-06,10001075
Lombardia,TOTALE,2015-02-07,10001036
Lombardia,TOTALE,2015-02-08,10000997
Lombardia,TOTALE,2015-02-09,10000958
Lombardia,TOTALE,2015-02-10,10000919
Lombardia,TOTALE,2015-02-11,10000881
Lombardia,TOTALE,2015-02-12,10000842
Lombardia,TOTALE,2015-02-13,10000803
Lombardia,TOTALE,2015-02-14,10000764
Lombardia,TOTALE,2015-02-15,10000726
Lombardia,TOTALE,2015-02-16,10000687
Lombardia,TOTALE,2015-02-17,10000648
Lombardia,TOTALE,2015-02-18,10000609
Lombardia,TOTALE,2015-02-19,10000570
Lombardia,TOTALE,2015-02-20,10000532
Lombardia,TOTALE,2015-02-21,10000493
Lombardia,TOTALE,2015-02-22,10000454
Lombardia,TOTALE,2015-02-23,10000415
Lombardia,TOTALE,2015-02-24,10000376
Lombardia,TOTALE,2015-02-25,10000338
Lombardia,TOTALE,2015-02-26,10000299
Lombardia,TOTALE,2015-02-27,10000260
Lombardia,TOTALE,2015-02-28,10000221
Lombardia,TOTALE,2015-03-01,10000183
Lombardia,TOTALE,2015-03-02,10000204
Lombardia,TOTALE,2015-03-03,10000226
Lombardia,TOTALE,2015-03-04,10000248
Lombardia,TOTALE,2015-03-05,10000270
Lombardia,TOTALE,2015-03-06,10000292
Lombardia,TOTALE,2015-03-07,10000314
Lombardia,TOTALE,2015-03-08,10000336
Lombardia,TOTALE,2015-03-09,10000357
Lombardia,TOTALE,2015-03-10,10000379
Lombardia,TOTALE,2015-03-11,10000401
Lombardia,TOTALE,2015-03-12,10000423
Lombardia,TOTALE,2015-03-13,10000445
Lombardia,TOTALE,2015-03-14,10000467
Lombardia,TOTALE,2015-03-15,10000489
Lombardia,TOTALE,2015-03-16,10000511
Lombardia,TOTALE,2015-03-17,10000532
Lombardia,TOTALE,2015-03-18,10000554
Lombardia,TOTALE,2015-03-19,10000576
Lombardia,TOTALE,2015-03-20,10000598
Lombardia,TOTALE,2015-03-21,10000620
Lombardia,TOTALE,2015-03-22,10000642
Lombardia,TOTALE,2015-03-23,10000664
Lombardia,TOTALE,2015-03-24,10000686
Lombardia,TOTALE,2015-03-25,10000707
Lombardia,TOTALE,2015-03-26,10000729
Lombardia,TOTALE,2015-03-27,10000751
Lombardia,TOTALE,2015-03-28,10000773
Lombardia,TOTALE,2015-03-29,10000795
Lombardia,TOTALE,2015-03-30,10000817
Lombardia,TOTALE,2015-03-31,10000839
Lombardia,TOTALE,2015-04-01,10000861
Lombardia,TOTALE,2015-04-02,10000836
Lombardia,TOTALE,2015-04-03,10000811
Lombardia,TOTALE,2015-04-04,10000787
Lombardia,TOTALE,2015-04-05,10000762
Lombardia,TOTALE,2015-04-06,10000737
Lombardia,TOTALE,2015-04-07,10000713
Lombardia,TOTALE,2015-04-08,10000688
Lombardia,TOTALE,2015-04-09,10000663
Lombardia,TOTALE,2015-04-10,10000639
Lombardia,TOTALE,2015-04-11,10000614
Lombardia,TOTALE,2015-04-12,10000589
Lombardia,TOTALE,2015-04-13,10000565
Lombardia,TOTALE,2015-04-14,10000540
Lombardia,TOTALE,2015-04-15,10000515
Lombardia,TOTALE,2015-04-16,10000491
Lombardia,TOTALE,2015-04-17,10000466
Lombardia,TOTALE,2015-04-18,10000441
Lombardia,TOTALE,2015-04-19,10000417
Lombardia,TOTALE,2015-04-20,10000392
Lombardia,TOTALE,2015-04-21,10000367
Lombardia,TOTALE,2015-04-22,10000343
Lombardia,TOTALE,2015-04-23,10000318
Lombardia,TOTALE,2015-04-24,10000293
Lombardia,TOTALE,2015-04-25,10000269
Lombardia,TOTALE,2015-04-26,10000244
Lombardia,TOTALE,2015-04-27,10000219
Lombardia,TOTALE,2015-04-28,10000195
Lombardia,TOTALE,2015-04-29,10000170
Lombardia,TOTALE,2015-04-30,10000145
Lombardia,TOTALE,2015-05-01,10000121
Lombardia,TOTALE,2015-05-02,10000152
Lombardia,TOTALE,2015-05-03,10000183
Lombardia,TOTALE,2015-05-04,10000214
Lombardia,TOTALE,2015-05-05,10000245
Lombardia,TOTALE,2015-05-06,10000276
Lombardia,TOTALE,2015-05-07,10000307
Lombardia,TOTALE,2015-05-08,10000338
Lombardia,TOTALE,2015-05-09,10000369
Lombardia,TOTALE,2015-05-10,10000400
Lombardia,TOTALE,2015-05-11,10000431
Lombardia,TOTALE,2015-05-12,10000462
Lombardia,TOTALE,2015-05-13,10000493
Lombardia,TOTALE,2015-05-14,10000524
Lombardia,TOTALE,2015-05-15,10000555
Lombardia,TOTALE,2015-05-16,10000586
Lombardia,TOTALE,2015-05-17,10000617
Lombardia,TOTALE,2015-05-18,10000648
Lombardia,TOTALE,2015-05-19,10000679
Lombardia,TOTALE,2015-05-20,10000710
Lombardia,TOTALE,2015-05-21,10000741
Lombardia,TOTALE,2015-05-22,10000772
Lombardia,TOTALE,2015-05-23,10000803
Lombardia,TOTALE,2015-05-24,10000834
Lombardia,TOTALE,2015-05-25,10000865
Lombardia,TOTALE,2015-05-26,10000896
Lombardia,TOTALE,2015-05-27,10000927
Lombardia,TOTALE,2015-05-28,10000958
Lombardia,TOTALE,2015-05-29,10000989
Lombardia,TOTALE,2015-05-30,10001020
Lombardia,TOTALE,2015-05-31,10001051
Lombardia,TOTALE,2015-06-01,10001082
Lombardia,TOTALE,2015-06-02,10001092
Lombardia,TOTALE,2015-06-03,10001102
Lombardia,TOTALE,2015-06-04,10001112
Lombardia,TOTALE,2015-06-05,10001122
Lombardia,TOTALE,2015-06-06,10001132
Lombardia,TOTALE,2015-06-07,10001142
Lombardia,TOTALE,2015-06-08,10001152
Lombardia,TOTALE,2015-06-09,10001162
Lombardia,TOTALE,2015-06-10,10001172
Lombardia,TOTALE,2015-06-11,10001182
Lombardia,TOTALE,2015-06-12,10001192
Lombardia,TOTALE,2015-06-13,10001202
Lombardia,TOTALE,2015-06-14,10001212
Lombardia,TOTALE,2015-06-15,10001222
Lombardia,TOTALE,2015-06-16,10001232
Lombardia,TOTALE,2015-06-17,10001242
Lombardia,TOTALE,2015-06-18,10001252
Lombardia,TOTALE,2015-06-19,10001262
Lombardia,TOTALE,2015-06-20,10001272
Lombardia,TOTALE,2015-06-21,10001282
Lombardia,TOTALE,2015-06-22,10001292
Lombardia,TOTALE,2015-06-23,10001302
Lombardia,TOTALE,2015-06-24,10001312
Lombardia,TOTALE,2015-06-25,10001322
Lombardia,TOTALE,2015-06-26,10001332
Lombardia,TOTALE,2015-06-27,10001342
Lombardia,TOTALE,2015-06-28,10001352
Lombardia,TOTALE,2015-06-29,10001362
Lombardia,TOTALE,2015-06-30,10001372
Lombardia,TOTALE,2015-07-01,10001383
Lombardia,TOTALE,2015-07-02,10001397
Lombardia,TOTALE,2015-07-03,10001411
Lombardia,TOTALE,2015-07-04,10001425
Lombardia,TOTALE,2015-07-05,10001439
Lombardia,TOTALE,2015-07-06,10001453
Lombardia,TOTALE,2015-07-07,10001467
Lombardia,TOTALE,2015-07-08,10001481
Lombardia,TOTALE,2015-07-09,10001495
Lombardia,TOTALE,2015-07-10,10001509
Lombardia,TOTALE,2015-07-11,10001523
Lombardia,TOTALE,2015-07-12,10001537
Lombardia,TOTALE,2015-07-13,10001551
Lombardia,TOTALE,2015-07-14,10001565
Lombardia,TOTALE,2015-07-15,10001579
Lombardia,TOTALE,2015-07-16,10001593
Lombardia,TOTALE,2015-07-17,10001608
Lombardia,TOTALE,2015-07-18,10001622
Lombardia,TOTALE,2015-07-19,10001636
Lombardia,TOTALE,2015-07-20,10001650
Lombardia,TOTALE,2015-07-21,10001664
Lombardia,TOTALE,2015-07-22,10001678
Lombardia,TOTALE,2015-07-23,10001692
Lombardia,TOTALE,2015-07-24,10001706
Lombardia,TOTALE,2015-07-25,10001720
Lombardia,TOTALE,2015-07-26,10001734
Lombardia,TOTALE,2015-07-27,10001748
Lombardia,TOTALE,2015-07-28,10001762
Lombardia,TOTALE,2015-07-29,10001776
Lombardia,TOTALE,2015-07-30,10001790
Lombardia,TOTALE,2015-07-31,10001804
Lombardia,TOTALE,2015-08-01,10001819
Lombardia,TOTALE,2015-08-02,10001829
Lombardia,TOTALE,2015-08-03,10001839
Lombardia,TOTALE,2015-08-04,10001849
Lombardia,TOTALE,2015-08-05,10001859
Lombardia,TOTALE,2015-08-06,10001869
Lombardia,TOTALE,2015-08-07,10001879
Lombardia,TOTALE,2015-08-08,10001889
Lombardia,TOTALE,2015-08-09,10001899
Lombardia,TOTALE,2015-08-10,10001909
Lombardia,TOTALE,2015-08-11,10001919
Lombardia,TOTALE,2015-08-12,10001929
Lombardia,TOTALE,2015-08-13,10001939
Lombardia,TOTALE,2015-08-14,10001949
Lombardia,TOTALE,2015-08-15,10001959
Lombardia,TOTALE,2015-08-16,10001969
Lombardia,TOTALE,2015-08-17,10001979
Lombardia,TOTALE,2015-08-18,10001989
Lombardia,TOTALE,2015-08-19,10001999
Lombardia,TOTALE,2015-08-20,10002009
Lombardia,TOTALE,2015-08-21,10002019
Lombardia,TOTALE,2015-08-22,10002029
Lombardia,TOTALE,2015-08-23,10002039
Lombardia,TOTALE,2015-08-24,10002049
Lombardia,TOTALE,2015-08-25,10002059
Lombardia,TOTALE,2015-08-26,10002069
Lombardia,TOTALE,2015-08-27,10002079
Lombardia,TOTALE,2015-08-28,10002089
Lombardia,TOTALE,2015-08-29,10002099
Lombardia,TOTALE,2015-08-30,10002109
Lombardia,TOTALE,2015-08-31,10002119
Lombardia,TOTALE,2015-09-01,10002130
Lombardia,TOTALE,2015-09-02,10002162
Lombardia,TOTALE,2015-09-03,10002195
Lombardia,TOTALE,2015-09-04,10002227
Lombardia,TOTALE,2015-09-05,10002260
Lombardia,TOTALE,2015-09-06,10002292
Lombardia,TOTALE,2015-09-07,10002325
Lombardia,TOTALE,2015-09-08,10002357
Lombardia,TOTALE,2015-09-09,10002390
Lombardia,TOTALE,2015-09-10,10002423
Lombardia,TOTALE,2015-09-11,10002455
Lombardia,TOTALE,2015-09-12,10002488
Lombardia,TOTALE,2015-09-13,10002520
Lombardia,TOTALE,2015-09-14,10002553
Lombardia,TOTALE,2015-09-15,10002585
Lombardia,TOTALE,2015-09-16,10002618
Lombardia,TOTALE,2015-09-17,10002651
Lombardia,TOTALE,2015-09-18,10002683
Lombardia,TOTALE,2015-09-19,10002716
Lombardia,TOTALE,2015-09-20,10002748
Lombardia,TOTALE,2015-09-21,10002781
Lombardia,TOTALE,2015-09-22,10002813
Lombardia,TOTALE,2015-09-23,10002846
Lombardia,TOTALE,2015-09-24,10002879
Lombardia,TOTALE,2015-09-25,10002911
Lombardia,TOTALE,2015-09-26,10002944
Lombardia,TOTALE,2015-09-27,10002976
Lombardia,TOTALE,2015-09-28,10003009
Lombardia,TOTALE,2015-09-29,10003041
Lombardia,TOTALE,2015-09-30,10003074
Lombardia,TOTALE,2015-10-01,10003107
Lombardia,TOTALE,2015-10-02,10003161
Lombardia,TOTALE,2015-10-03,10003215
Lombardia,TOTALE,2015-10-04,10003270
Lombardia,TOTALE,2015-10-05,10003324
Lombardia,TOTALE,2015-10-06,10003378
Lombardia,TOTALE,2015-10-07,10003433
Lombardia,TOTALE,2015-10-08,10003487
Lombardia,TOTALE,2015-10-09,10003542
Lombardia,TOTALE,2015-10-10,10003596
Lombardia,TOTALE,2015-10-11,10003650
Lombardia,TOTALE,2015-10-12,10003705
Lombardia,TOTALE,2015-10-13,10003759
Lombardia,TOTALE,2015-10-14,10003814
Lombardia,TOTALE,2015-10-15,10003868
Lombardia,TOTALE,2015-10-16,10003922
Lombardia,TOTALE,2015-10-17,10003977
Lombardia,TOTALE,2015-10-18,10004031
Lombardia,TOTALE,2015-10-19,10004085
Lombardia,TOTALE,2015-10-20,10004140
Lombardia,TOTALE,2015-10-21,10004194
Lombardia,TOTALE,2015-10-22,10004249
Lombardia,TOTALE,2015-10-23,10004303
Lombardia,TOTALE,2015-10-24,10004357
Lombardia,TOTALE,2015-10-25,10004412
Lombardia,TOTALE,2015-10-26,10004466
Lombardia,TOTALE,2015-10-27,10004521
Lombardia,TOTALE,2015-10-28,10004575
Lombardia,TOTALE,2015-10-29,10004629
Lombardia,TOTALE,2015-10-30,10004684
Lombardia,TOTALE,2015-10-31,10004738
Lombardia,TOTALE,2015-11-01,10004793
Lombardia,TOTALE,2015-11-02,10004855
Lombardia,TOTALE,2015-11-03,10004918
Lombardia,TOTALE,2015-11-04,10004981
Lombardia,TOTALE,2015-11-05,10005043
Lombardia,TOTALE,2015-11-06,10005106
Lombardia,TOTALE,2015-11-07,10005169
Lombardia,TOTALE,2015-11-08,10005232
Lombardia,TOTALE,2015-11-09,10005294
Lombardia,TOTALE,2015-11-10,10005357
Lombardia,TOTALE,2015-11-11,10005420
Lombardia,TOTALE,2015-11-12,10005483
Lombardia,TOTALE,2015-11-13,10005545
Lombardia,TOTALE,2015-11-14,10005608
Lombardia,TOTALE,2015-11-15,10005671
Lombardia,TOTALE,2015-11-16,10005734
Lombardia,TOTALE,2015-11-17,10005796
Lombardia,TOTALE,2015-11-18,10005859
Lombardia,TOTALE,2015-11-19,10005922
Lombardia,TOTALE,2015-11-20,10005984
Lombardia,TOTALE,2015-11-21,10006047
Lombardia,TOTALE,2015-11-22,10006110
Lombardia,TOTALE,2015-11-23,10006173
Lombardia,TOTALE,2015-11-24,10006235
Lombardia,TOTALE,2015-11-25,10006298
Lombardia,TOTALE,2015-11-26,10006361
Lombardia,TOTALE,2015-11-27,10006424
