"","NOME_COMUNE","NOME_PROVINCIA","DECESSI_HIGH","DECESSI_LOW","AVG","longitudine","latitudine"
"1","Abbadia Cerreto","Lodi",1,0,1,9.59252482,45.31239093
"2","Abbadia Lariana","Lecco",7,0,7,9.33454921,45.90049968
"3","Abbiategrasso","Milano",73,46,73,8.91748563,45.39857615
"4","Acquafredda","Brescia",20,20,20,10.41190041,45.30716861
"5","Acquanegra Cremonese","Cremona",38,38,38,9.88878548,45.16831524
"6","Acquanegra sul Chiese","Mantova",14,14,14,10.43338521,45.16049553
"7","Adrara San Martino","Bergamo",20,20,20,9.9482497,45.69819924
"8","Adrara San Rocco","Bergamo",1,0,1,9.95771458,45.71217274
"9","Adro","Brescia",12,0,12,9.95535378,45.62514272
"10","Agnadello","Cremona",20,20,20,9.55920587,45.44713529
"11","Agnosine","Brescia",5,1,5,10.3576843,45.64771077
"12","Agra","Varese",1,0,1,8.77144627,46.03408765
"13","Agrate Brianza","Monza e della Brianza",64,64,64,9.35176407,45.57545676
"14","Aicurzio","Monza e della Brianza",5,0,5,9.41103721,45.64070053
"15","Airuno","Lecco",3,0,3,9.42246629,45.75440641
"16","Alagna","Pavia",2,0,2,8.88945222,45.16928391
"17","Albairate","Milano",10,3,10,8.93517393,45.41870614
"18","Albano Sant'Alessandro","Bergamo",88,88,88,9.7662362,45.68645495
"19","Albaredo Arnaboldi","Pavia",1,0,1,9.24350753,45.10683265
"20","Albaredo per San Marco","Sondrio",0,0,0,9.59043893,46.10292543
"21","Albavilla","Como",18,18,18,9.18930004,45.8010947
"22","Albese con Cassano","Como",15,0,15,9.16474347,45.79543363
"23","Albiate","Monza e della Brianza",18,18,18,9.26133993,45.65669353
"24","Albino","Bergamo",302,302,302,9.7969345,45.76059116
"25","Albiolo","Como",4,0,4,8.93736248,45.80680091
"26","Albizzate","Varese",14,14,14,8.80354799,45.72373624
"27","Albonese","Pavia",9,0,9,8.7061279,45.2928504
"28","Albosaggia","Sondrio",6,0,6,9.85465398,46.147398
"29","Albuzzano","Pavia",36,36,36,9.27717753,45.18754704
"30","Alfianello","Brescia",18,18,18,10.14824994,45.26758605
"31","Algua","Bergamo",1,0,1,9.72222924,45.82583705
"32","Almè","Bergamo",68,68,68,9.6175669,45.74006437
"33","Almenno San Bartolomeo","Bergamo",38,38,38,9.57826907,45.74829449
"34","Almenno San Salvatore","Bergamo",70,70,70,9.58738459,45.74973808
"35","Alserio","Como",3,0,3,9.19837284,45.77868888
"36","Alta Valle Intelvi","Como",7,0,7,9.0271,45.9848
"37","Alzano Lombardo","Bergamo",218,218,218,9.72580631,45.72747077
"38","Alzate Brianza","Como",13,0,13,9.18202575,45.76698007
